Tempo,Temperatura,Amostra,setpoint,duty,y_controller,pwm
4.59,20.4,0,16.0,99,5.11,656
10.59,20.5,1,18.0,99,2.78,656
16.59,20.5,2,18.0,99,2.9,656
22.59,20.4,3,18.0,99,2.9,656
28.59,20.4,4,16.0,99,5.02,656
34.59,20.3,5,16.0,99,5.03,656
40.59,20.3,6,16.0,99,4.93,656
46.59,20.2,7,16.0,99,4.94,656
52.59,20.0,8,16.0,99,4.84,656
58.59,19.9,9,16.0,99,4.62,656
64.59,19.8,10,16.0,99,4.52,656
70.59,19.6,11,16.0,99,4.41,656
76.59,19.5,12,16.0,99,4.2,656
82.59,19.2,13,16.0,99,4.09,656
88.58,19.0,14,16.0,99,3.77,656
94.58,19.0,15,16.0,99,3.55,656
100.58,18.7,16,16.0,99,3.56,656
106.58,18.4,17,16.0,99,3.23,656
112.58,18.2,18,16.0,99,2.9,656
118.58,18.0,19,16.0,99,2.68,656
124.58,17.7,20,16.0,99,2.46,656
130.58,17.5,21,16.0,99,2.13,656
136.58,17.2,22,16.0,93,1.91,4588
142.59,17.0,23,16.0,73,1.58,17695
148.59,16.8,24,16.0,62,1.36,24904
154.59,16.5,25,16.0,52,1.14,31457
160.58,16.3,26,16.0,37,0.8,41288
166.58,16.1,27,16.0,21,0.58,51773
172.58,15.9,28,16.0,20,0.36,52428
178.58,15.7,29,16.0,20,0.14,52428
184.59,15.6,30,16.0,20,-0.09,52428
190.59,15.4,31,16.0,20,-0.2,52428
196.59,15.3,32,16.0,20,-0.42,52428
202.58,15.2,33,16.0,20,-0.54,52428
208.58,15.2,34,16.0,20,-0.65,52428
214.58,15.1,35,16.0,20,-0.65,52428
220.58,15.1,36,16.0,20,-0.76,52428
226.58,15.1,37,16.0,20,-0.76,52428
232.58,15.0,38,16.0,20,-0.77,52428
238.58,15.1,39,16.0,20,-0.88,52428
244.58,15.1,40,16.0,20,-0.77,52428
250.58,15.1,41,16.0,20,-0.77,52428
256.58,15.1,42,16.0,20,-0.77,52428
262.58,15.2,43,16.0,20,-0.78,52428
268.58,15.2,44,16.0,20,-0.67,52428
274.58,15.2,45,16.0,20,-0.67,52428
280.58,15.4,46,16.0,20,-0.67,52428
286.58,15.4,47,16.0,20,-0.45,52428
292.58,15.4,48,16.0,20,-0.45,52428
298.58,15.4,49,16.0,20,-0.45,52428
304.58,15.4,50,16.0,20,-0.45,52428
310.58,15.4,51,16.0,20,-0.45,52428
316.58,15.5,52,16.0,20,-0.45,52428
322.58,15.5,53,16.0,20,-0.34,52428
328.58,15.7,54,16.0,20,-0.34,52428
334.58,15.7,55,16.0,20,-0.12,52428
340.58,15.7,56,16.0,20,-0.12,52428
346.58,15.7,57,16.0,20,-0.12,52428
352.58,15.7,58,16.0,20,-0.12,52428
358.58,15.8,59,16.0,20,-0.12,52428
364.58,15.8,60,16.0,20,-0.01,52428
370.58,15.9,61,16.5,20,-0.57,52428
376.58,15.9,62,17.0,20,-1.02,52428
382.58,16.0,63,17.0,20,-1.02,52428
388.58,16.0,64,18.5,20,-2.58,52428
394.58,16.1,65,19.0,20,-3.15,52428
400.58,16.0,66,20.0,20,-4.15,52428
408.82,16.0,67,20.0,20,-22.31,52428
414.81,16.2,68,20.0,20,-4.5,52428
420.81,16.2,69,20.0,20,-4.29,52428
426.81,16.1,70,20.0,20,-4.29,52428
432.81,16.1,71,22.0,20,-6.64,52428
438.81,16.3,72,22.5,20,-7.21,52428
444.81,16.2,73,22.5,20,-7.0,52428
450.81,16.3,74,22.5,20,-7.13,52428
456.81,16.3,75,22.5,20,-7.03,52428
462.81,16.3,76,22.5,20,-7.04,52428
473.73,16.3,77,20.0,20,-22.31,52428
479.73,16.4,78,20.0,20,-4.17,52428
485.73,16.4,79,21.0,20,-5.18,52428
491.73,16.4,80,23.0,20,-7.42,52428
497.73,16.4,81,24.0,20,-8.55,52428
503.73,16.5,82,25.5,20,-10.23,52428
509.73,16.5,83,26.0,20,-10.7,52428
515.73,16.5,84,26.5,20,-11.27,52428
521.73,16.5,85,28.0,20,-12.97,52428
527.73,16.5,86,29.0,20,-14.1,52428
533.73,16.5,87,29.0,20,-14.13,52428
539.73,16.5,88,29.5,20,-14.71,52428
545.73,16.5,89,30.0,20,-15.29,52428
551.73,16.5,90,30.0,20,-15.32,52428
557.73,16.5,91,30.0,20,-15.35,52428
563.73,16.5,92,30.0,20,-15.38,52428
569.72,16.5,93,30.0,20,-15.4,52428
575.72,16.6,94,30.0,20,-15.43,52428
581.72,16.5,95,30.0,20,-15.35,52428
587.72,16.6,96,30.0,20,-15.48,52428
593.72,16.6,97,30.0,20,-15.4,52428
599.72,16.6,98,30.0,20,-15.43,52428
605.72,16.6,99,30.0,20,-15.45,52428
